gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	B cell	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	fibroblast	gut endothelial cell	intestinal crypt stem cell of large intestine	intestinal enteroendocrine cell	intestinal tuft cell	large intestine goblet cell	mast cell	monocyte	paneth cell of colon	plasma cell	transit amplifying cell of colon
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.012	0.017	0.048	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	UBASH3B	0.012	0.017	0.048	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.012	0.017	0.048	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.004	0.002	0.001	0.079	0.085	0.0	0.295	0.0	0.014	0.014	0.0	0.0	0.05	0.0	0.224
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.004	0.002	0.001	0.079	0.085	0.0	0.295	0.0	0.014	0.014	0.0	0.0	0.05	0.0	0.224
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.004	0.002	0.001	0.079	0.085	0.0	0.295	0.0	0.014	0.014	0.0	0.0	0.05	0.0	0.224
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.015	0.019	0.004	0.01	0.036	0.286	0.23	0.0	0.0	0.0	0.893	0.0	0.007	0.072	0.051
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.012	0.007	0.003	0.016	0.002	0.071	0.164	0.0	0.014	0.0	0.0	0.0	0.239	0.0	0.02
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0FF565F1C	SULT2A1	0.0	0.001	0.0	0.004	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS04A65DD62	SULT2A1	0.0	0.001	0.0	0.004	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0006C277B	SULT2A1	0.0	0.001	0.0	0.004	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	DHCR7	0.033	0.035	0.053	0.041	0.004	0.286	0.344	0.0	0.014	0.0	0.0	0.0	0.014	0.0	0.112
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.033	0.035	0.053	0.041	0.004	0.286	0.344	0.0	0.014	0.0	0.0	0.0	0.014	0.0	0.112
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	0.033	0.035	0.053	0.041	0.004	0.286	0.344	0.0	0.014	0.0	0.0	0.0	0.014	0.0	0.112
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	DHCR7	0.033	0.035	0.053	0.041	0.004	0.286	0.344	0.0	0.014	0.0	0.0	0.0	0.014	0.0	0.112
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.001	0.0	0.0	0.1	0.206	0.0	0.443	0.0	0.0	0.014	0.0	0.0	0.062	0.0	0.194
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	0.001	0.0	0.0	0.1	0.206	0.0	0.443	0.0	0.0	0.014	0.0	0.0	0.062	0.0	0.194
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	CYP11A1	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0
CYP11A1	P05108	True	CP11A_HUMAN	Pregnenolone_byCYP11A1	CPI-CS06A285DD6	CYP11A1	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP3A4	P08684	True	CP3A4_HUMAN	22Hydroxycholesterol_byCYP3A4	CPI-CS01C347639	CYP3A4	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
